NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI,id
RENFE,2.165256,41.39187,RENFE - PASSEIG DE GRÀCIA-,la Dreta de l'Eixample,239
Tramvia,2.087563,41.376495,"TRAMVIA (T1,T2,T3) - PONT D'ESPLUGUES-",,240
Tramvia,2.066109,41.356699,"TRAMVIA (T1,T2) - LES AIGÜES-",,241
Tramvia,2.05321,41.379349,Tramvia (T3) - SANT FELIU/CONSELL COMARCAL-,,242
Metro i línies urbanes FGC,2.181739,41.448687,Trinitat Nova (Aiguablava)-,la Trinitat Nova,243
Metro i línies urbanes FGC,2.107952,41.37406,Pubilla Cases (Doctor Ramon Solanich)-,,244
Metro i línies urbanes FGC,2.158906,41.394274,Diagonal (Rosselló / FGC)-,la Dreta de l'Eixample,245
Estació marítima,2.179986,41.360226,Terminal Marítima C *Creuers-,la Marina del Prat Vermell,246
Metro i línies urbanes FGC,2.126533,41.388322,Maria Cristina (Capità Arenas)-,Pedralbes,247
Metro i línies urbanes FGC,2.175585,41.394915,METRO (L2) - Tetuan-,la Dreta de l'Eixample,248
Metro i línies urbanes FGC,2.233466,41.440265,METRO (L2) - Gorg-,,249
Metro i línies urbanes FGC,2.207994,41.451095,METRO (L1) - Santa Coloma-,,250
Metro i línies urbanes FGC,2.17569,41.376567,METRO (L3) - Drassanes-,el Raval,251
Metro i línies urbanes FGC,2.153048,41.402037,METRO (L3) - Fontana-,la Vila de Gràcia,252
Metro i línies urbanes FGC,2.224762,41.442845,METRO (L10N) - La Salut-,,253
Metro i línies urbanes FGC,2.141831,41.35619,METRO (L10S) - Foc-,la Marina del Prat Vermell,254
Metro i línies urbanes FGC,2.141018,41.381626,METRO (L3) - Sants Estació-,Sants,255
Metro i línies urbanes FGC,2.110944,41.351005,METRO (L1) - Bellvitge-,,256
Tramvia,2.192089,41.387575,TRAMVIA (T4) - CIUTADELLA-VILA OLÍMPICA-,la Vila Olímpica del Poblenou,257
Tramvia,2.058263,41.363968,"TRAMVIA (T1,T2) - BON VIATGE-",,258
Tramvia,2.062535,41.36756,TRAMVIA (T2) - LA FONTSANTA-,,259
Tramvia,2.22531,41.427474,TRAMVIA (T5) - SANT JOAN BAPTISTA-,,260
Ferrocarrils Generalitat (FGC),2.125789,41.398544,FGC - SARRIÀ-,les Tres Torres,261
Metro i línies urbanes FGC,2.193017,41.386715,METRO (L4) - Ciutadella | Vila Olímpica-,la Vila Olímpica del Poblenou,262
